Date, ULSP:  Pump price (p/litre),ULSP:  Diff on previous WEEK (p/litre), ULSP: Diff on previous  YEAR (p/litre),Duty rate ULSP (p/litre),VAT (% rate) ULSP,ULSD: Pump price (p/litre),ULSD: Diff on previous WEEK (p/litre),ULSD: Diff on previous  YEAR (p/litre),Duty rate ULSD (p/litre),VAT (% rate) ULSD
09-06-03,74.59,,,45.82,17.50,76.77,,,45.82,17.50
16-06-03,74.47,-0.1,,45.82,17.50,76.69,-0.1,,45.82,17.50
23-06-03,74.42,0.0,,45.82,17.50,76.62,-0.1,,45.82,17.50
30-06-03,74.35,-0.1,,45.82,17.50,76.51,-0.1,,45.82,17.50
07-07-03,74.28,-0.1,,45.82,17.50,76.46,0.0,,45.82,17.50
14-07-03,74.21,-0.1,,45.82,17.50,76.41,0.0,,45.82,17.50
21-07-03,75.07,0.9,,45.82,17.50,76.90,0.5,,45.82,17.50
28-07-03,75.10,0.0,,45.82,17.50,76.86,0.0,,45.82,17.50
04-08-03,75.12,0.0,,45.82,17.50,76.81,0.0,,45.82,17.50
11-08-03,75.44,0.3,,45.82,17.50,77.08,0.3,,45.82,17.50
18-08-03,75.81,0.4,,45.82,17.50,77.44,0.4,,45.82,17.50
26-08-03,76.05,0.2,,45.82,17.50,77.68,0.2,,45.82,17.50
01-09-03,76.13,0.1,,45.82,17.50,77.59,-0.1,,45.82,17.50
08-09-03,76.23,0.1,,45.82,17.50,77.67,0.1,,45.82,17.50
15-09-03,76.20,0.0,,45.82,17.50,77.63,0.0,,45.82,17.50
22-09-03,76.15,0.0,,45.82,17.50,77.55,-0.1,,45.82,17.50
29-09-03,76.08,-0.1,,45.82,17.50,77.53,0.0,,45.82,17.50
06-10-03,76.43,0.3,,47.10,17.50,77.66,0.1,,47.10,17.50
13-10-03,75.90,-0.5,,47.10,17.50,77.43,-0.2,,47.10,17.50
20-10-03,76.05,0.2,,47.10,17.50,77.54,0.1,,47.10,17.50
27-10-03,76.00,-0.1,,47.10,17.50,77.51,0.0,,47.10,17.50
03-11-03,76.00,0.0,,47.10,17.50,77.52,0.0,,47.10,17.50
10-11-03,75.94,-0.1,,47.10,17.50,77.47,-0.1,,47.10,17.50
17-11-03,75.93,0.0,,47.10,17.50,77.52,0.0,,47.10,17.50
24-11-03,76.02,0.1,,47.10,17.50,77.67,0.2,,47.10,17.50
01-12-03,76.00,0.0,,47.10,17.50,77.66,0.0,,47.10,17.50
08-12-03,75.97,0.0,,47.10,17.50,77.63,0.0,,47.10,17.50
15-12-03,75.96,0.0,,47.10,17.50,77.62,0.0,,47.10,17.50
22-12-03,75.92,0.0,,47.10,17.50,77.61,0.0,,47.10,17.50
29-12-03,75.94,0.0,,47.10,17.50,77.60,0.0,,47.10,17.50
05-01-04,75.88,-0.1,,47.10,17.50,77.54,-0.1,,47.10,17.50
12-01-04,75.90,0.0,,47.10,17.50,77.54,0.0,,47.10,17.50
19-01-04,76.36,0.5,,47.10,17.50,78.06,0.5,,47.10,17.50
26-01-04,76.44,0.1,,47.10,17.50,78.08,0.0,,47.10,17.50
02-02-04,76.48,0.0,,47.10,17.50,78.13,0.0,,47.10,17.50
09-02-04,76.50,0.0,,47.10,17.50,77.98,-0.1,,47.10,17.50
16-02-04,76.44,-0.1,,47.10,17.50,78.00,0.0,,47.10,17.50
23-02-04,76.38,-0.1,,47.10,17.50,77.93,-0.1,,47.10,17.50
01-03-04,76.32,-0.1,,47.10,17.50,77.87,-0.1,,47.10,17.50
08-03-04,76.73,0.4,,47.10,17.50,78.25,0.4,,47.10,17.50
15-03-04,77.39,0.7,,47.10,17.50,78.80,0.5,,47.10,17.50
22-03-04,77.44,0.1,,47.10,17.50,78.92,0.1,,47.10,17.50
29-03-04,77.59,0.2,,47.10,17.50,79.01,0.1,,47.10,17.50
05-04-04,77.86,0.3,,47.10,17.50,79.23,0.2,,47.10,17.50
12-04-04,77.88,0.0,,47.10,17.50,79.27,0.0,,47.10,17.50
19-04-04,78.04,0.2,,47.10,17.50,79.43,0.2,,47.10,17.50
26-04-04,78.40,0.4,,47.10,17.50,79.75,0.3,,47.10,17.50
04-05-04,79.28,0.9,,47.10,17.50,80.64,0.9,,47.10,17.50
10-05-04,80.30,1.0,,47.10,17.50,81.68,1.0,,47.10,17.50
17-05-04,81.49,1.2,,47.10,17.50,82.83,1.2,,47.10,17.50
24-05-04,82.13,0.6,,47.10,17.50,83.48,0.6,,47.10,17.50
31-05-04,82.35,0.2,,47.10,17.50,83.61,0.1,,47.10,17.50
