Date,Petrol_Price,ULSP__Diff_on_previous_WEEK_p_litre,_ULSP_Diff_on_previous__YEAR_p_litre,Duty_rate_ULSP_p_litre,VAT_percent_rate_ULSP,Diesel_Price,ULSD_Diff_on_previous_WEEK_p_litre,ULSD_Diff_on_previous__YEAR_p_litre,Duty_rate_ULSD_p_litre,VAT_percent_rate_ULSD,Petrol_Sales_Liters,Diesel_Sales_Liters,Petrol_Revenue,Diesel_Revenue,Total_Revenue,Operating_Cost,Profit
2003-06-09,74.59,,,45.82,17.5,76.77,,,45.82,17.50,13756.557076505616,11493.93450762346,1026101.592336554,882389.352150253,1908490.944486807,395424.5472243404,1513066.3972624666
2003-06-16,74.47,-0.1,,45.82,17.5,76.69,-0.1,,45.82,17.50,13441.467849414408,11031.06372060559,1000986.110745891,845972.2767332428,1846958.387479134,392347.9193739567,1454610.4681051772
2003-06-23,74.42,0.0,,45.82,17.5,76.62,-0.1,,45.82,17.50,13835.444269050347,10753.037345883742,1029633.7625027269,823897.7214416123,1853531.4839443392,392676.57419721695,1460854.9097471223
2003-06-30,74.35,-0.1,,45.82,17.5,76.51,-0.1,,45.82,17.50,14274.514928204013,11237.984867315343,1061310.1849119682,859818.2221982969,1921128.407110265,396056.4203555132,1525071.9867547518
2003-07-07,74.28,-0.1,,45.82,17.5,76.46,0.0,,45.82,17.50,13397.323312638331,11328.888195569856,995153.1756627753,866206.7914332711,1861359.9670960465,393067.9983548023,1468291.9687412442
2003-07-14,74.21,-0.1,,45.82,17.5,76.41,0.0,,45.82,17.50,13398.73152152541,10362.806873945203,994319.8662124005,791822.0732381529,1786141.9394505534,389307.0969725277,1396834.8424780257
2003-07-21,75.07,0.9,,45.82,17.5,76.9,0.5,,45.82,17.50,14288.206407753696,11085.460027939944,1072615.6550300699,852471.8761485817,1925087.5311786516,396254.3765589326,1528833.154619719
2003-07-28,75.1,0.0,,45.82,17.5,76.86,0.0,,45.82,17.50,13881.717364576454,11127.56909692436,1042516.9740796917,855264.9607896063,1897781.934869298,394889.09674346494,1502892.838125833
2003-08-04,75.12,0.0,,45.82,17.5,76.81,0.0,,45.82,17.50,13262.862807032525,10728.824598656003,996306.2540642833,824081.0174227676,1820387.271487051,391019.3635743526,1429367.9079126983
2003-08-11,75.44,0.3,,45.82,17.5,77.08,0.3,,45.82,17.50,13762.480021792982,11394.082725324646,1038241.4928440625,878255.8964680237,1916497.3893120862,395824.8694656043,1520672.5198464817
2003-08-18,75.81,0.4,,45.82,17.5,77.44,0.4,,45.82,17.50,13252.091153593768,10778.37776518699,1004641.0303539436,834677.5741360805,1839318.604490024,391965.9302245012,1447352.674265523
2003-08-26,76.05,0.2,,45.82,17.5,77.68,0.2,,45.82,17.50,13246.135123214872,10885.030581388617,1007368.5761204909,845549.1755622679,1852917.7516827588,392645.88758413796,1460271.8640986208
2003-09-01,76.13,0.1,,45.82,17.5,77.59,-0.1,,45.82,17.50,13598.381135783016,10766.921270286452,1035244.755867161,835405.4213615258,1870650.1772286869,393532.50886143435,1477117.6683672525
2003-09-08,76.23,0.1,,45.82,17.5,77.67,0.1,,45.82,17.50,12518.7598776711,10841.181619032588,954305.065474868,842034.5763502611,1796339.6418251293,389816.9820912565,1406522.6597338729
2003-09-15,76.2,0.0,,45.82,17.5,77.63,0.0,,45.82,17.50,12613.541083743483,10397.039965241918,961151.8305812534,807122.2125017301,1768274.0430829835,388413.7021541492,1379860.3409288344
2003-09-22,76.15,0.0,,45.82,17.5,77.55,-0.1,,45.82,17.50,13195.856235379513,10260.729646962282,1004864.45232415,795719.5841219249,1800584.036446075,390029.20182230376,1410554.8346237713
2003-09-29,76.08,-0.1,,45.82,17.5,77.53,0.0,,45.82,17.50,12971.984439832788,11474.852025289989,986908.5761824785,889645.2775207328,1876553.8537032113,393827.69268516055,1482726.1610180507
2003-10-06,76.43,0.3,,47.1,17.5,77.66,0.1,,47.1,17.50,13628.523666297637,10496.31546067267,1041628.0638151285,815143.8586758395,1856771.922490968,392838.5961245484,1463933.3263664194
2003-10-13,75.9,-0.5,,47.1,17.5,77.43,-0.2,,47.1,17.50,13027.987962239395,10441.993060217477,988824.2863339701,808523.5226526393,1797347.8089866093,389867.39044933044,1407480.418537279
2003-10-20,76.05,0.2,,47.1,17.5,77.54,0.1,,47.1,17.50,12772.848149332354,9975.543954558514,971375.1017567255,773503.6782364673,1744878.7799931928,387243.9389996596,1357634.8409935331
2003-10-27,76.0,-0.1,,47.1,17.5,77.51,0.0,,47.1,17.50,14212.824384460777,10581.7653009242,1080174.653219019,820192.6284746348,1900367.281693654,395018.3640846827,1505348.9176089712
2003-11-03,76.0,0.0,,47.1,17.5,77.52,0.0,,47.1,17.50,13367.111849756731,10307.964082637001,1015900.5005815115,799073.3756860204,1814973.876267532,390748.6938133766,1424225.1824541553
2003-11-10,75.94,-0.1,,47.1,17.5,77.47,-0.1,,47.1,17.50,13514.964102343964,11494.756064054549,1026326.3739320006,890498.7522823059,1916825.1262143063,395841.25631071534,1520983.869903591
2003-11-17,75.93,0.0,,47.1,17.5,77.52,0.0,,47.1,17.50,12769.025906893272,11241.126835737054,969552.1371104062,871412.1523063363,1840964.2894167425,392048.21447083715,1448916.0749459052
2003-11-24,76.02,0.1,,47.1,17.5,77.67,0.2,,47.1,17.50,13207.40863773741,10559.689861928911,1004027.2046407978,820171.1115760185,1824198.3162168162,391209.9158108408,1432988.4004059755
